,AdmArea,District,EDU_NAME,ID,LINK,OGRN,PASSED_NUMBER_FULL,PASSER_UNDER_160,PASSES_OVER_220,YEAR,global_id,signature_date,system_object_id
20,Северо-Восточный административный округ,Ярославский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1577»,3940,"{'global_id': 19646365, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1577»'}",1027700488265,121,49,24,2015-2016,4697936,31.10.2016 09:26:43,3940
21,Восточный административный округ,район Измайлово,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж автоматизации и информационных технологий № 20»,3931,"{'global_id': 13793710, 'value': 'Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж автоматизации и информационных технологий № 20»'}",1057719027013,117,11,0,2015-2016,4697937,31.10.2016 09:12:54,3931
22,Юго-Западный административный округ,район Тёплый Стан,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 51»,5308,"{'global_id': 4478657, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 51»'}",1027700443858,61,19,4,2015-2016,4697939,31.10.2016 09:28:43,5308
23,Южный административный округ,район Нагатино-Садовники,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1375»,5303,{'global_id': 59480621},1027739549507,121,52,16,2015-2016,4697940,31.10.2016 09:27:55,5303
24,Восточный административный округ,район Северное Измайлово,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 2200»,5300,"{'global_id': 13793774, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 2200»'}",1157746630271,122,71,34,2015-2016,4697941,31.10.2016 09:33:50,5300
25,Северо-Восточный административный округ,район Южное Медведково,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 285 имени В.А. Молодцова»,5286,"{'global_id': 4478720, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 285 имени В.А. Молодцова»'}",1157746328684,182,50,16,2015-2016,4697942,31.10.2016 09:29:40,5286
26,Северный административный округ,район Сокол,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением испанского языка № 1252 имени Сервантеса»,5281,"{'global_id': 4478900, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением испанского языка № 1252 имени Сервантеса»'}",1027739921274,75,47,37,2015-2016,4697943,31.10.2016 09:27:02,5281
27,Восточный административный округ,район Ивановское,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранных языков № 1373»,5538,"{'global_id': 13793688, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранных языков № 1373»'}",1037739287376,47,31,8,2015-2016,4697944,31.10.2016 09:26:09,5538
28,Юго-Восточный административный округ,район Марьино,Государственное бюджетное общеобразовательное учреждение города Москвы школа № 1959 «Дети мира»,5460,"{'global_id': 37418777, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы школа № 1959 «Дети мира»'}",5137746107824,105,40,17,2015-2016,4697945,31.10.2016 09:38:43,5460
29,Западный административный округ,район Крылатское,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1593»,797,"{'global_id': 4479212, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1593»'}",1037739413667,50,38,16,2015-2016,4697949,31.10.2016 09:36:19,797
30,Юго-Восточный административный округ,район Выхино-Жулебино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1935»,848,{'global_id': 62782441},1037739069708,56,41,21,2015-2016,4697950,31.10.2016 09:34:01,848
31,Восточный административный округ,район Северное Измайлово,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 2033»,4075,"{'global_id': 13793791, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 2033»'}",1147746037064,48,31,17,2015-2016,4697951,31.10.2016 09:24:39,4075
32,Юго-Западный административный округ,район Котловка,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 626 имени Н.И.Сац»,4256,"{'global_id': 4478742, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 626 имени Н.И.Сац»'}",5147746240406,80,48,14,2015-2016,4697952,31.10.2016 09:37:06,4256
33,Зеленоградский административный округ,район Старое Крюково,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 853»,4431,"{'global_id': 4479255, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 853»'}",1027739341850,103,83,37,2015-2016,4697953,31.10.2016 09:19:54,4431
34,Юго-Восточный административный округ,район Люблино,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 2010 имени Героя Советского Союза М.П. Судакова»,4259,{'global_id': 62782443},1137746780346,86,58,28,2015-2016,4697955,31.10.2016 09:25:36,4259
35,Юго-Западный административный округ,Обручевский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа-интернат № 17»,4264,{'global_id': 64004145},1027700497219,9,2,0,2015-2016,4697956,31.10.2016 09:26:47,4264
36,Юго-Восточный административный округ,район Лефортово,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1228»,4265,"{'global_id': 4478942, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1228»'}",1027700583877,158,75,34,2015-2016,4697957,31.10.2016 09:15:16,4265
37,Северо-Западный административный округ,район Митино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1944»,3746,"{'global_id': 4478889, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1944»'}",1037739116997,99,79,56,2015-2016,4697958,31.10.2016 09:28:22,3746
38,Юго-Восточный административный округ,Нижегородский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1222 имени Маршала Советского Союза И.Х. Баграмяна»,3850,"{'global_id': 13793788, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1222 имени Маршала Советского Союза И.Х. Баграмяна»'}",1037739663136,147,71,25,2015-2016,4697959,31.10.2016 09:19:52,3850
39,Центральный административный округ,Мещанский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2054»,3852,"{'global_id': 4478961, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2054»'}",1127746718330,501,145,61,2015-2016,4697960,31.10.2016 09:15:04,3852
40,Восточный административный округ,район Ивановское,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1504»,1808,"{'global_id': 13793712, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1504»'}",1107746022559,116,77,28,2015-2016,4697961,31.10.2016 09:24:50,1808
41,Восточный административный округ,район Богородское,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 386»,2391,"{'global_id': 13793687, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 386»'}",1037700246946,54,17,2,2015-2016,4697962,31.10.2016 09:17:46,2391
42,Южный административный округ,район Орехово-Борисово Южное,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранного (английского) языка № 1207»,2248,{'global_id': 62782434},1027700356155,124,53,35,2015-2016,4697964,31.10.2016 09:34:57,2248
43,Юго-Восточный административный округ,район Выхино-Жулебино,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1793 «Жулебино»,2459,{'global_id': 62782460},1137746956555,68,55,32,2015-2016,4697965,31.10.2016 09:22:46,2459
44,Западный административный округ,район Тропарёво-Никулино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1317»,2003,"{'global_id': 20974887, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1317»'}",5137746208507,47,43,28,2015-2016,4697966,31.10.2016 09:08:40,2003
45,Северо-Восточный административный округ,район Северный,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2044»,1999,{'global_id': 62782423},5087746613862,47,15,6,2015-2016,4697967,31.10.2016 09:36:27,1999
46,Северо-Западный административный округ,район Покровское-Стрешнево,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московский государственный образовательный комплекс»,3926,"{'global_id': 14235618, 'value': 'Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московский государственный образовательный комплекс»'}",1037739711460,289,27,7,2015-2016,4697968,31.10.2016 09:12:20,3926
47,Восточный административный округ,район Восточный,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 448»,4037,{'global_id': 62782447},1037739060358,44,12,2,2015-2016,4697969,31.10.2016 09:10:25,4037
