,AdmArea,District,EDU_NAME,ID,LINK,OGRN,PASSED_NUMBER_FULL,PASSER_UNDER_160,PASSES_OVER_220,YEAR,global_id,signature_date,system_object_id
98,Центральный административный округ,Таганский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Открытая (сменная) школа № 88»,5350,{'global_id': 62782419},1097746401873,221,107,27,2015-2016,4698033,31.10.2016 09:30:59,5350
99,Южный административный округ,район Чертаново Центральное,Государственное бюджетное образовательное учреждение города Москвы гимназия № 1582,5336,"{'global_id': 4479135, 'value': 'Государственное бюджетное образовательное учреждение города Москвы гимназия № 1582'}",1097746824999,50,43,27,2015-2016,4698034,31.10.2016 09:22:41,5336
100,Юго-Восточный административный округ,район Печатники,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа «Спектр»,5337,"{'global_id': 30538833, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа «Спектр»'}",1037700023030,75,37,12,2015-2016,4698035,31.10.2016 09:15:03,5337
101,Северо-Восточный административный округ,район Южное Медведково,Государственное бюджетное образовательное учреждение города Москвы лицей № 1568 имени Пабло Неруды,690,"{'global_id': 4478928, 'value': 'Государственное бюджетное образовательное учреждение города Москвы лицей № 1568 имени Пабло Неруды'}",1137746596316,176,121,89,2015-2016,4698036,31.10.2016 09:17:43,690
102,Зеленоградский административный округ,район Крюково,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2045»,544,"{'global_id': 4479243, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2045»'}",1127747118025,101,69,20,2015-2016,4698037,31.10.2016 09:34:52,544
103,Восточный административный округ,район Ивановское,Государственное бюджетное образовательное учреждение города Москвы гимназия № 1476,542,"{'global_id': 4478701, 'value': 'Государственное бюджетное образовательное учреждение города Москвы гимназия № 1476'}",1027700410638,61,35,12,2015-2016,4698038,31.10.2016 09:29:39,542
104,Восточный административный округ,район Гольяново,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1078»,541,"{'global_id': 14021040, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1078»'}",1037739426790,63,35,3,2015-2016,4698039,31.10.2016 09:26:51,541
105,Южный административный округ,район Чертаново Центральное,Государственное бюджетное общеобразовательное учреждение города Москвы средняя общеобразовательная школа № 556,536,{'global_id': 62782403},1137746700299,46,38,17,2015-2016,4698041,31.10.2016 09:20:08,536
106,Северо-Восточный административный округ,район Северное Медведково,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 283»,534,"{'global_id': 4478716, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 283»'}",5147746156300,213,85,31,2015-2016,4698042,31.10.2016 09:22:30,534
107,Южный административный округ,Даниловский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1553 имени В.И. Вернадского»,839,"{'global_id': 20974861, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1553 имени В.И. Вернадского»'}",1027739070754,156,73,47,2015-2016,4698043,31.10.2016 09:32:47,839
108,Восточный административный округ,район Перово,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2126 «Перово»,778,"{'global_id': 13793690, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2126 «Перово»'}",1157746588251,53,41,15,2015-2016,4698044,31.10.2016 09:27:30,778
109,Юго-Восточный административный округ,район Выхино-Жулебино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1460»,641,{'global_id': 59480545},1137746934368,58,29,15,2015-2016,4698045,31.10.2016 09:20:29,641
110,Западный административный округ,район Филёвский Парк,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 590»,686,"{'global_id': 4479218, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 590»'}",1027700459335,64,17,9,2015-2016,4698047,31.10.2016 09:26:16,686
111,Северный административный округ,район Коптево,"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 185 имени Героя Советского Союза, Героя Социалистического Труда В.С. Гризодубовой»",648,"{'global_id': 4479490, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 185 имени Героя Советского Союза, Героя Социалистического Труда В.С. Гризодубовой»'}",1027700481357,63,32,11,2015-2016,4698048,31.10.2016 09:12:40,648
112,Южный административный округ,район Чертаново Центральное,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1173»,823,"{'global_id': 30538840, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1173»'}",1037700236507,129,62,25,2015-2016,4698049,31.10.2016 09:15:16,823
113,Западный административный округ,район Раменки,Государственное автономное общеобразовательное учреждение города Москвы «Гимназия № 1306»,826,"{'global_id': 30538856, 'value': 'Государственное автономное общеобразовательное учреждение города Москвы «Гимназия № 1306»'}",1037739273230,22,16,9,2015-2016,4698050,31.10.2016 09:25:12,826
114,Северо-Восточный административный округ,Ярославский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1374»,2475,"{'global_id': 13793813, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1374»'}",1037739087979,100,43,9,2015-2016,4698052,31.10.2016 09:33:45,2475
115,Северо-Западный административный округ,район Строгино,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 86 имени М.Е. Катукова»,2368,{'global_id': 62782401},1037739458646,82,22,4,2015-2016,4698053,31.10.2016 09:26:11,2368
116,Западный административный округ,район Раменки,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 37»,2466,"{'global_id': 4479279, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 37»'}",1037739385056,38,24,11,2015-2016,4698054,31.10.2016 09:29:03,2466
117,Северный административный округ,Головинский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1583 имени К. А. Керимова»,2461,"{'global_id': 30538829, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1583 имени К. А. Керимова»'}",1027700556564,157,63,31,2015-2016,4698055,31.10.2016 09:35:07,2461
118,Центральный административный округ,район Хамовники,Государственное бюджетное образовательное учреждение города Москвы гимназия № 1529 имени А.С.Грибоедова,2026,"{'global_id': 4479133, 'value': 'Государственное бюджетное образовательное учреждение города Москвы гимназия № 1529 имени А.С.Грибоедова'}",1037700156856,221,123,88,2015-2016,4698056,31.10.2016 09:27:43,2026
119,Юго-Западный административный округ,Гагаринский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей «Вторая школа»,2025,"{'global_id': 4479184, 'value': 'Государственное бюджетное образовательное учреждение города Москвы лицей «Вторая школа»'}",1027700477826,98,90,83,2015-2016,4698057,31.10.2016 09:27:25,2025
120,Южный административный округ,район Царицыно,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 868»,2119,{'global_id': 62782453},1147746352841,42,21,5,2015-2016,4698058,31.10.2016 09:15:32,2119
121,Юго-Восточный административный округ,район Печатники,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1256 имени Героя Советского Союза И.С. Полбина»,2117,"{'global_id': 14021058, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1256 имени Героя Советского Союза И.С. Полбина»'}",1027700558412,123,55,29,2015-2016,4698059,31.10.2016 09:27:26,2117
122,Западный административный округ,район Фили-Давыдково,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа-интернат «Интеллектуал»,2112,"{'global_id': 13793676, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа-интернат «Интеллектуал»'}",1037731005784,84,56,48,2015-2016,4698060,31.10.2016 09:38:49,2112
123,Западный административный округ,район Ново-Переделкино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением естественных наук № 1376»,2111,{'global_id': 59480209},5087746478420,48,42,21,2015-2016,4698061,31.10.2016 09:38:00,2111
124,Восточный административный округ,район Богородское,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением экологии № 390 имени генерала П.И. Батова»,3818,"{'global_id': 4479409, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением экологии № 390 имени генерала П.И. Батова»'}",1127747007090,59,22,5,2015-2016,4698062,31.10.2016 09:31:19,3818
125,Восточный административный округ,район Новогиреево,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1324»,3957,"{'global_id': 4478690, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1324»'}",1027739707104,137,70,26,2015-2016,4698064,31.10.2016 09:37:51,3957
126,Западный административный округ,Можайский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1400»,3948,"{'global_id': 4479457, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1400»'}",1037739401853,261,69,31,2015-2016,4698065,31.10.2016 09:15:11,3948
127,Северный административный округ,Тимирязевский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 218»,3446,"{'global_id': 13793734, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 218»'}",1147746195410,62,56,49,2015-2016,4698066,31.10.2016 09:20:19,3446
128,Южный административный округ,район Бирюлёво Восточное,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 947»,3454,"{'global_id': 14021054, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 947»'}",1107746022570,118,76,25,2015-2016,4698067,31.10.2016 09:28:56,3454
129,Северо-Западный административный округ,район Митино,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1358»,3706,"{'global_id': 4478813, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1358»'}",1137746205541,202,120,53,2015-2016,4698068,31.10.2016 09:37:13,3706
130,Юго-Западный административный округ,район Южное Бутово,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1980»,4065,"{'global_id': 13793798, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1980»'}",1027739639938,202,82,34,2015-2016,4698069,31.10.2016 09:36:03,4065
131,Западный административный округ,район Филёвский Парк,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 72»,4060,{'global_id': 59480572},1027700570314,74,55,18,2015-2016,4698070,31.10.2016 09:10:23,4060
132,Северный административный округ,Бескудниковский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 183»,571,"{'global_id': 4479435, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 183»'}",5147746149766,105,50,18,2015-2016,4698071,31.10.2016 09:34:53,571
133,Южный административный округ,район Зябликово,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2116 «Зябликово»,568,"{'global_id': 4479339, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2116 «Зябликово»'}",1157746067820,168,68,20,2015-2016,4698072,31.10.2016 09:37:00,568
134,Центральный административный округ,район Замоскворечье,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж малого бизнеса № 4»,456,"{'global_id': 13793723, 'value': 'Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж малого бизнеса № 4»'}",1057705001970,70,0,0,2015-2016,4698073,31.10.2016 09:10:08,456
135,Южный административный округ,район Чертаново Центральное,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 879»,442,"{'global_id': 4478822, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 879»'}",1127747134569,34,23,7,2015-2016,4698074,31.10.2016 09:25:21,442
136,Северо-Западный административный округ,район Щукино,Государственное бюджетное общеобразовательное учреждение города Москвы «Курчатовская школа»,478,"{'global_id': 13793762, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Курчатовская школа»'}",1127746767158,206,152,87,2015-2016,4698075,31.10.2016 09:26:10,478
137,Западный административный округ,район Крылатское,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1130»,473,"{'global_id': 13793756, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1130»'}",1037739024322,112,61,26,2015-2016,4698076,31.10.2016 09:25:04,473
138,Южный административный округ,район Бирюлёво Западное,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 933»,441,"{'global_id': 14021036, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 933»'}",1027739574060,23,15,3,2015-2016,4698077,31.10.2016 09:25:31,441
139,Южный административный округ,Нагорный район,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1580 при МГТУ имени Н.Э.Баумана»,639,"{'global_id': 13793797, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1580 при МГТУ имени Н.Э.Баумана»'}",1097746843985,419,400,305,2015-2016,4698078,31.10.2016 09:17:57,639
140,Юго-Восточный административный округ,район Выхино-Жулебино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1359 имени авиаконструктора М.Л.Миля»,633,"{'global_id': 13793787, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1359 имени авиаконструктора М.Л.Миля»'}",1027700551120,335,112,52,2015-2016,4698079,31.10.2016 09:29:46,633
141,Восточный административный округ,район Богородское,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением математики № 1360»,632,"{'global_id': 4478975, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением математики № 1360»'}",1037739403360,192,65,22,2015-2016,4698080,31.10.2016 09:22:42,632
142,Центральный административный округ,Красносельский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1525 «Красносельский»,787,"{'global_id': 13793810, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1525 «Красносельский»'}",1157746803895,113,97,55,2015-2016,4698081,31.10.2016 09:15:18,787
143,Западный административный округ,район Раменки,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 38»,3890,{'global_id': 64004157},1037739560836,81,33,9,2015-2016,4698087,31.10.2016 09:28:35,3890
144,Восточный административный округ,район Измайлово,"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением математики, информатики, физики № 444»",5275,"{'global_id': 4479470, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением математики, информатики, физики № 444»'}",1037700123152,100,65,42,2015-2016,4698088,31.10.2016 09:36:12,5275
145,Западный административный округ,район Раменки,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 74,5370,"{'global_id': 4479472, 'value': 'Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 74'}",1027739628564,19,3,2,2015-2016,4698089,31.10.2016 09:10:22,5370
146,Юго-Западный административный округ,Обручевский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 46»,5374,{'global_id': 62782446},1147746292638,68,32,15,2015-2016,4698090,31.10.2016 09:39:38,5374
147,Северо-Западный административный округ,район Куркино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2005»,5338,{'global_id': 62782442},1127747107421,117,85,46,2015-2016,4698091,31.10.2016 09:27:52,5338
148,Юго-Западный административный округ,район Тёплый Стан,Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы «Колледж градостроительства и сервиса № 38»,5379,"{'global_id': 4478808, 'value': 'Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы «Колледж градостроительства и сервиса № 38»'}",1137746216695,24,4,1,2015-2016,4698092,31.10.2016 09:22:28,5379
149,Юго-Восточный административный округ,район Люблино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с этнокультурным татарским компонентом образования № 1186 имени Мусы Джалиля»,5323,{'global_id': 59480568},1037739044860,31,8,1,2015-2016,4698093,31.10.2016 09:32:29,5323
150,Северный административный округ,район Аэропорт,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 152»,5324,"{'global_id': 13793746, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 152»'}",1037739289466,230,114,55,2015-2016,4698094,31.10.2016 09:32:25,5324
151,Южный административный округ,район Братеево,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 998»,5328,"{'global_id': 4479293, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 998»'}",1127747292749,58,9,1,2015-2016,4698095,31.10.2016 09:37:30,5328
152,Восточный административный округ,район Гольяново,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1598»,2413,"{'global_id': 13793766, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1598»'}",1047718008040,144,85,24,2015-2016,4698097,31.10.2016 09:26:18,2413
153,Западный административный округ,Можайский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1195»,2394,"{'global_id': 13793673, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1195»'}",1027700552241,134,92,38,2015-2016,4698098,31.10.2016 09:39:32,2394
154,Восточный административный округ,район Ивановское,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 633,2399,"{'global_id': 4479256, 'value': 'Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 633'}",1037739178289,17,9,2,2015-2016,4698100,31.10.2016 09:26:31,2399
155,Западный административный округ,район Тропарёво-Никулино,Государственное бюджетное общеобразовательное учреждение города Москвы «Образовательный центр на проспекте Вернадского»,2128,"{'global_id': 13793755, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Образовательный центр на проспекте Вернадского»'}",1037700017596,58,56,33,2015-2016,4698101,31.10.2016 09:24:42,2128
156,Южный административный округ,район Москворечье-Сабурово,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1828 «Сабурово»,2274,"{'global_id': 4479083, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1828 «Сабурово»'}",1157746131036,44,20,9,2015-2016,4698102,31.10.2016 09:36:12,2274
157,Южный административный округ,район Нагатинский Затон,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1770»,2267,"{'global_id': 4478726, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1770»'}",1097746831731,139,60,15,2015-2016,4698103,31.10.2016 09:17:54,2267
158,Юго-Восточный административный округ,район Марьино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1319»,1828,"{'global_id': 4478849, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1319»'}",1027739005216,26,26,25,2015-2016,4698104,31.10.2016 09:35:11,1828
159,Северный административный округ,Тимирязевский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 216»,2211,{'global_id': 59480204},1027700437984,53,10,5,2015-2016,4698105,31.10.2016 09:17:53,2211
160,Юго-Западный административный округ,район Северное Бутово,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1945 «Синяя птица»,2207,{'global_id': 59480463},1027739544843,53,27,7,2015-2016,4698106,31.10.2016 09:10:09,2207
161,Северо-Восточный административный округ,район Северное Медведково,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1506»,2204,"{'global_id': 4478580, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1506»'}",1097746830818,145,75,42,2015-2016,4698107,31.10.2016 09:38:46,2204
162,Юго-Западный административный округ,район Южное Бутово,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2109»,2126,"{'global_id': 4479450, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2109»'}",1147746870567,163,70,27,2015-2016,4698108,31.10.2016 09:12:52,2126
163,Южный административный округ,район Нагатино-Садовники,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 1073»,2108,{'global_id': 59480269},1127746239433,26,14,5,2015-2016,4698109,31.10.2016 09:08:35,2108
164,Западный административный округ,район Внуково,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 41 имени Григория Алексеевича Тарана»,651,"{'global_id': 30538831, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 41 имени Григория Алексеевича Тарана»'}",1027739800439,109,55,17,2015-2016,4698110,31.10.2016 09:35:20,651
165,Западный административный округ,район Тропарёво-Никулино,Государственное бюджетное общеобразовательное учреждение Московская гимназия на Юго-Западе № 1543,2301,{'global_id': 170690465},1027700539789,111,83,82,2015-2016,4698111,31.10.2016 09:38:08,2301
166,Северо-Западный административный округ,район Хорошёво-Мнёвники,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1560»,2219,"{'global_id': 4479013, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1560»'}",1037739178069,190,98,42,2015-2016,4698112,31.10.2016 09:36:04,2219
167,Восточный административный округ,район Перово,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 423»,2298,"{'global_id': 4479229, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 423»'}",1037739221420,65,34,11,2015-2016,4698113,31.10.2016 09:22:41,2298
168,Юго-Западный административный округ,Академический район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 199»,2378,"{'global_id': 13793779, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 199»'}",1037739633535,112,82,44,2015-2016,4698115,31.10.2016 09:29:28,2378
169,Северо-Восточный административный округ,Алтуфьевский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 305»,2415,{'global_id': 170690433},1037739322796,63,31,15,2015-2016,4698116,31.10.2016 09:29:22,2415
170,Южный административный округ,район Чертаново Центральное,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 880»,2377,{'global_id': 62782452},1027739566788,69,28,8,2015-2016,4698118,31.10.2016 09:25:45,2377
171,Юго-Западный административный округ,район Южное Бутово,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1161»,3859,"{'global_id': 4478725, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1161»'}",5147746147203,52,35,6,2015-2016,4698120,31.10.2016 09:26:23,3859
172,Южный административный округ,район Братеево,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1929»,4069,{'global_id': 59480185},1037739488951,93,35,12,2015-2016,4698121,31.10.2016 09:28:14,4069
173,Восточный административный округ,район Перово,Государственное бюджетное общеобразовательное учреждение города Москвы «Московская международная гимназия»,4070,"{'global_id': 30538846, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Московская международная гимназия»'}",1027739756340,108,76,48,2015-2016,4698122,31.10.2016 09:25:22,4070
174,Центральный административный округ,Красносельский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Пушкинский лицей № 1500»,3505,"{'global_id': 30538820, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Пушкинский лицей № 1500»'}",1027700388363,184,94,46,2015-2016,4698123,31.10.2016 09:17:47,3505
175,Восточный административный округ,район Вешняки,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 810»,4044,"{'global_id': 13793686, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 810»'}",1037739319474,106,22,4,2015-2016,4698124,31.10.2016 09:22:32,4044
176,Юго-Восточный административный округ,район Текстильщики,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Многопрофильный центр образования»,3504,"{'global_id': 13793741, 'value': 'Государственное бюджетное профессиональное образовательное учреждение города Москвы «Многопрофильный центр образования»'}",1037723049924,15,0,0,2015-2016,4698125,31.10.2016 09:32:31,3504
177,Северный административный округ,район Сокол,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением математики № 1384 имени А.А. Леманского»,3501,"{'global_id': 13793667, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением математики № 1384 имени А.А. Леманского»'}",1027700551724,62,22,15,2015-2016,4698126,31.10.2016 09:26:58,3501
178,Северный административный округ,Молжаниновский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа Перспектива»,3848,"{'global_id': 13793662, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа Перспектива»'}",5147746142902,13,10,3,2015-2016,4698127,31.10.2016 09:37:11,3848
179,Южный административный округ,район Чертаново Северное,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1158»,3846,{'global_id': 59480213},1127746764771,130,114,68,2015-2016,4698128,31.10.2016 09:24:37,3846
180,Северный административный округ,Хорошёвский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1287»,3845,"{'global_id': 19646353, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1287»'}",1037739086956,183,93,49,2015-2016,4698129,31.10.2016 09:08:22,3845
