,EDU_NAME,PASSED_NUMBER_FULL,PASSER_UNDER_160,PASSES_OVER_220,lat,lon
51,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1995»,130,51,18,55.646033,37.498579
52,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2110 «Многопрофильный образовательный комплекс «Марьино»,151,39,8,55.653471,37.702278
53,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 324 «Жар-птица»,79,35,16,55.672974,37.492487
54,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1454 «Центр образования Тимирязевский»,152,83,37,55.813345,37.568957
55,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 538 имени С.В. Гришина»,35,25,3,55.652253,37.576942
56,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 830»,45,26,5,55.83314,37.459256
57,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1573»,162,66,39,55.903439,37.553944
58,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1200»,126,51,25,55.742251,37.858776
59,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1512»,84,55,29,55.718532,37.830195
60,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1367»,168,84,27,55.714722,37.7521071
61,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1613»,36,22,7,55.5740066,37.5867575
62,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1150 имени Героя Советского Союза К.К. Рокоссовского»,123,63,27,55.972956,37.152787
63,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2103,78,60,20,55.605821,37.517293
64,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 429 «Соколиная гора»,266,90,42,55.775706,37.724916
65,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2113»,143,29,4,55.599467,37.617638
66,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1526»,96,47,25,55.6025143,37.6210837
67,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2089»,185,60,19,55.684815,37.920762
68,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1331 «Молодая Иверия»,25,3,2,55.748198,37.594587
69,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1557»,111,88,65,55.998074,37.2317589
70,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 878»,201,65,22,55.611257,37.7015201
71,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1028»,116,46,13,55.732893,37.827161
72,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1811 «Восточное Измайлово»,316,114,38,55.7939397,37.8147298
73,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1584»,112,60,42,55.745008,37.428993
74,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 727»,55,16,3,55.846832,37.516829
75,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1905»,83,43,22,55.682639,37.860024
76,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 1466 имени Надежды Рушевой»,85,44,11,55.628983,37.674172
77,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2099»,50,26,8,55.819818,37.491039
78,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1912 имени Бауыржана Момышулы»,70,52,20,55.982235,37.164995
79,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2093 имени А.Н. Савельева,61,24,9,55.748919,37.812647
80,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1716 «Эврика-Огонек»,48,16,3,55.66541,37.774515
81,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранного языка № 1236»,223,99,32,55.817422,37.582388
82,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 368 «Лосиный остров» с углубленным изучением отдельных предметов»,63,25,10,55.822137,37.817844
83,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1103 имени Героя Российской Федерации А.В. Соломатина»,190,57,21,55.6071771,37.5420954
84,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Политехнический колледж им. Н.Н. Годовикова»,93,13,3,55.8227696,37.5159718
85,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углублённым изучением английского языка № 1285»,102,64,35,55.8337788,37.4182569
86,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 922,112,33,6,55.763137,37.827195
87,Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Технический пожарно-спасательный колледж № 57 имени Героя Российской Федерации В.М. Максимчука,70,14,1,55.680338,37.608572
88,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 979»,64,17,4,55.603,37.745742
89,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2092 имени И.Н.Кожедуба»,80,39,11,55.67188,37.791607
90,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2001»,50,32,11,55.827764,37.591987
91,Государственное бюджетное образовательное учреждение города Москвы гимназия № 1522,60,52,33,55.7728151,37.4821359
92,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1563»,62,61,46,55.807517,37.810426
93,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением экономики № 1301 имени Е.Т. Гайдара»,56,40,14,55.780088,37.738363
94,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1589»,44,29,9,55.778794,37.6954829
95,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 354 имени Д.М. Карбышева,99,72,35,55.769388,37.67793
96,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1576»,210,134,58,55.8229,37.5292851
97,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 63»,107,44,21,55.7562,37.412769
98,Государственное бюджетное общеобразовательное учреждение города Москвы «Открытая (сменная) школа № 88»,221,107,27,55.7367124,37.6811743
99,Государственное бюджетное образовательное учреждение города Москвы гимназия № 1582,50,43,27,55.617888,37.601498
