,lat,lon
0,55.780252,37.603157
1,55.75934299999999,37.62083
2,55.8237912,37.4961799
3,55.73870040000001,37.4106786
4,55.774019,37.5864226
5,55.72828939999999,37.4386479
6,55.798537,37.520838
7,55.746871,37.539502
8,55.664227,37.57662200000001
9,55.74455869999999,37.2332567
10,55.7518008,37.5326869
11,55.7704089,37.4896726
12,55.770396,37.489815
13,55.78299939999999,37.6250558
14,55.71099399999999,37.63248900000001
15,55.727226,37.47997900000001
16,55.7548981,37.6061834
17,55.74744949999999,37.5816516
18,55.850822,37.35939
19,55.9229012,37.8361658
20,55.9228621,37.8361738
21,55.697142,37.6179386
22,55.782886,37.625243
23,55.71117599999999,37.632936
24,55.886644,37.425033
25,55.5869436,38.12154199999999
26,55.69717199999999,37.617842
27,55.608729,37.535252
28,55.804424,37.618329
29,55.8030663,37.3895189
30,55.71516399999999,37.5046
31,55.665506,37.486569
32,55.67205999999999,37.561395
33,55.7433487,37.6556819
34,55.842245,37.460671
35,55.7257,37.446044
36,55.663493,37.54979400000001
37,55.67233100000001,37.55946699999999
38,55.767356,37.5681208
39,55.69154409999999,37.5275068
40,55.75468,37.6087703
41,55.6695086,37.5423151
42,55.7474825,37.5812868
43,55.6294718,37.61653099999999
44,55.731512,37.616171
45,55.7618002,37.6583326
46,55.75602749999999,37.5650347
47,55.7501868,37.5344604
48,55.8091574,37.1268992
49,55.84849999999999,37.619537
